helped	8
helpless	1
hen	2
hence	3
henceforth	3
her	1114
herbs	2
herd	1
here	101
herespeak	1
hereupon	1
herewhy	1
hereyou	1
hero	4
heroic	1
herself	91
herso	1
hes	1
hew	2
hewed	1
hewing	1
hi	2
hick	3
hid	11
hidden	11
hide	6
hideous	2
hiding	4
hidingplace	1
hie	1
high	22
higher	8
highest	2
highway	1
hill	14
hillock	1
hills	13
him	881
himself	171
hind	2
hinder	1
hinges	1
hired	1
his	1034
hissed	1
hit	7
hither	9
hitherto	1
ho	1
hoarse	1
hob	1
hobbled	1
hobblety	3
hobgoblin	2
hoe	1
hoes	1
hold	31
holding	4
hole	14
holes	4
holiday	1
holiness	1
holle	10
holles	1
hollow	3
home	180
homesick	2
homewards	7
honest	7
honey	5
honour	1
honourable	1
honourably	1
hood	1
hoofs	1
hook	1
hooks	1
hop	2
hope	5
hoped	4
hopped	4
hopping	2
horn	3
hornet	1
hornets	1
horns	1
horribly	2
horrid	1
horror	3
horse	86
horseback	3
horseman	4
horsemen	6
horsepond	1
horses	22
host	3
hostess	1
hosts	1
hot	4
hounds	2
hour	15
hours	8
house	108
housedoor	8
household	3
housekeeping	1
houses	2
housetop	1
housework	1
hovering	1
how	179
however	120
howl	3
howling	3
howsoever	1
hug	1
huge	3
hugged	2
hullo	1
human	2
humming	2
humpbacked	1
hunchback	1
hundred	22
hung	14
hunger	15
hungry	14
hunt	3
hunter	1
hunters	1
hunting	9
huntsman	39
huntsmen	22
huntsmens	2
hurrah	1
hurricane	1
hurried	3
hurry	6
hurrying	2
hurt	12
hurting	1
hurts	1
husband	47
hush	2
hut	6
i	1063
ice	1
ichabod	1
idea	5
idle	7
if	327
ill	50
illbehaved	1
illluck	2
illso	1
illtreated	1
illtreatment	1
illuminated	1
ilsabill	12
im	5
image	1
imagine	4
immediately	13
immense	1
imp	1
impatience	1
impatient	2
impetuous	1
impossible	3
in	1150
inclination	2
increased	1
indeed	19
indoors	1
industrious	3
industry	2
influenced	1
informed	3
ingratitude	1
inherited	1
injury	4
inn	9
innkeeper	1
innocence	2
innocent	4
inns	3
inquire	1
inquired	7
insects	1
inside	17
insignificant	1
insisted	1
insists	1
insolence	1
inspected	2
instant	3
instantly	3
instead	9
insulted	2
intend	1
intended	3
intending	1
intent	2
intention	2
interrupted	1
intertwined	1
into	479
invisible	4
invite	1
invited	5
involuntarily	1
inward	1
iron	25
is	465
it	1303
itbut	1
itit	1
its	49
itself	11
itwe	1
itwill	1
ive	1
jack	2
jacket	1
jailer	1
jam	4
jams	2
jeered	2
jemmy	1
jeremiah	1
jewels	7
jib	3
jingling	2
jip	4
job	4
jogged	5
john	1
join	1
joined	2
joint	1
joke	6
jokes	1
jollily	2
jorinda	11
jorindel	11
journey	17
journeyed	7
journeying	2
journeys	2
joy	29
joyful	2
joyfully	4
joyously	2
judge	11
judged	2
jug	10
juiciest	1
jump	3
jumped	22
jumping	5
junipertree	17
just	90
justice	3
kate	5
keen	1
keep	43
keeping	4
keeps	2
kehrewit	1
kept	19
kerchief	8
kettle	5
key	9
keys	2
kick	1
kicked	3
kicks	1
kid	4
kids	9
kill	29
killed	31
kills	1
kind	26
kindly	8
kindness	5
kinds	8
king	272
kingdom	39
kingdoms	1
kings	94
kingthe	1
kinsmen	1
kiss	4
kissed	9
kitchen	27
kitchenboy	1
kitchenmaid	3
knave	1
kneaded	1
knee	1
knees	9
knelt	1
knew	56
knife	17
knight	6
knights	4
knit	1
knives	1
knock	4
knocked	22
knocking	4
knocks	2
know	90
knowall	5
knowing	12
knowledge	2
known	8
knows	12
korbes	4
korbess	1
krr	2
kywitt	16
labour	1
laboured	1
labourers	1
lace	3
laced	1
laces	3
lack	1
lackaday	1
lacking	1
lad	3
ladder	4
laden	1
ladies	3
lads	1
lady	34
ladys	2
laid	65
lain	2
lair	3
lake	8
lamb	3
lambs	3
lame	1
lament	2
lamentations	2
lamented	1
lamenting	2
lamp	2
lamps	2
land	30
landed	1
landlord	3
landlords	1
landmark	2
lands	1
language	2
languages	1
lap	6
large	38
larger	7
lass	1
last	147
lasted	2
latch	2
late	14
later	3
lathe	2
latter	3
laugh	9
laughed	19
launched	1
laws	1
lay	82
laying	2
lazily	1
lazy	8
lead	3
leading	3
leads	1
leaf	1
leafhast	1
league	2
leagues	1
lean	1
leaned	1
leant	1
leap	3
leaped	1
leapt	7
learn	24
learned	2
learning	4
learnt	18
least	6
leather	4
leathern	3
leave	49
leaves	7
leaving	1
led	40
left	80
leg	10
legitimate	1
legs	18
leisure	2
leisurely	1
length	28
lent	2
lentils	2
less	5
lest	4
let	158
lets	1
letter	2
letters	3
letting	5
liberty	3
lick	1
licked	2
licking	1
lid	6
lie	32
lied	1
lies	10
life	59
lifeless	1
lift	6
lifted	18
light	40
lighted	8
lighten	1
lighthearted	3
lightning	5
lightnings	1
lights	3
like	124
liked	15
likely	5
likes	4
likewise	23
liking	2
lily	10
limb	1
limbs	2
limetree	1
limped	3
lina	12
line	3
linen	1
linger	4
lingering	1
linnets	2
lion	27
lions	5
lips	12
liquid	1
liquor	1
listen	15
listened	15
listeners	1
listening	3
lit	2
little	396
live	39
lived	47
livedtill	1
